px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
-10.3027	-6.95741	5.03504	3.87669	-0.277045	-10.2205	-6.71044	-10.4186	-6.90075	-3.87907	-3.19046	0.770872
-10.5352	-7.14846	5.11863	3.8568	-0.283211	-10.7616	-7.29159	-10.614	-7.05849	-3.93293	-3.11577	3.79257
-10.7427	-7.28677	5.10334	3.82735	-0.303255	-10.8944	-6.83335	-10.8121	-7.21245	-3.98613	-3.03916	1.68809
-10.9922	-7.4567	5.17903	3.79949	-0.318124	-11.2219	-7.56979	-11.0128	-7.36252	-4.03859	-2.96062	3.48801
-11.1797	-7.5919	5.04918	3.78103	-0.321527	-10.986	-7.3707	-11.2161	-7.50862	-4.09021	-2.88015	1.40795
-11.3241	-7.74914	4.98181	3.78665	-0.294998	-11.0934	-7.6776	-11.422	-7.65064	-4.14093	-2.79777	3.16962
-11.5193	-7.87291	4.92779	3.76364	-0.305888	-11.4213	-7.46085	-11.6304	-7.78849	-4.19066	-2.71349	1.67013
-11.6949	-7.97614	4.8524	3.74058	-0.316833	-11.5269	-7.8215	-11.8413	-7.92208	-4.23932	-2.6273	2.7712
-11.8851	-8.08668	4.69899	3.71752	-0.326374	-11.9422	-7.88317	-12.0546	-8.05131	-4.28682	-2.53924	1.04554
-12.0957	-8.17594	4.68013	3.6823	-0.350487	-12.09	-8.08828	-12.2702	-8.17609	-4.33309	-2.44932	0.483173
-12.3295	-8.30559	4.94086	3.66215	-0.352114	-12.4462	-8.02117	-12.4881	-8.29633	-4.37802	-2.35756	2.9279
-12.5328	-8.3888	4.88939	3.63211	-0.368437	-12.4231	-8.2599	-12.7082	-8.41193	-4.42156	-2.26399	1.54466
-12.7346	-8.47335	4.72159	3.60367	-0.382932	-12.7461	-8.19449	-12.9304	-8.5228	-4.4636	-2.16863	1.43725
-13.016	-8.56545	4.81854	3.56099	-0.41152	-13.2911	-8.64594	-13.1547	-8.62886	-4.50407	-2.07151	4.46275
-13.2716	-8.66427	4.9646	3.53461	-0.416671	-13.7929	-8.47158	-13.381	-8.73002	-4.54289	-1.97267	2.7228
-13.4922	-8.71362	4.91966	3.49708	-0.438192	-13.384	-8.57583	-13.6092	-8.82619	-4.57997	-1.87214	1.67201
-13.7013	-8.75473	4.70526	3.45745	-0.465007	-13.6376	-8.26344	-13.8392	-8.91729	-4.61524	-1.76997	3.30893
-13.9253	-8.86879	4.73066	3.45402	-0.43987	-13.9959	-8.99264	-14.0709	-9.00324	-4.64861	-1.6662	1.14462
-14.1882	-8.95534	4.98739	3.43684	-0.428252	-14.4737	-8.79552	-14.3043	-9.08395	-4.68001	-1.56086	2.79605
-14.4122	-9.07444	4.98585	3.44135	-0.395793	-14.4273	-9.1875	-14.5391	-9.15936	-4.70936	-1.45402	0.816486
-14.6393	-9.14516	4.90178	3.42184	-0.39741	-14.5757	-9.32634	-14.7754	-9.22939	-4.73658	-1.34573	0.408894
-14.931	-9.14151	4.97001	3.35886	-0.450935	-15.062	-9.04396	-15.013	-9.29397	-4.76161	-1.23603	1.81005
-15.1937	-9.21195	5.01109	3.34173	-0.444037	-15.6189	-9.69365	-15.2517	-9.35302	-4.78436	-1.125	4.49352
-15.4598	-9.33414	5.06993	3.35087	-0.404797	-15.6682	-9.56749	-15.4916	-9.40649	-4.80476	-1.01269	5.32245
